store_id,sale_date,product,qty,amount
STORE_002,2025-12-30 17:21:33.247858,Mouse,9,3417.48
STORE_002,2025-10-15 17:21:33.247858,Monitor,5,4743.15
STORE_002,2025-10-17 17:21:33.247858,Monitor,1,969.89
STORE_002,2025-12-14 17:21:33.247858,Headphones,4,4398.0
STORE_002,2025-12-01 17:21:33.247858,Monitor,7,2515.38
STORE_002,2025-10-20 17:21:33.247858,Mouse,7,857.01
STORE_002,2025-12-24 17:21:33.247858,Desktop,5,6008.45
STORE_002,2025-10-11 17:21:33.247858,Laptop,6,7934.28
STORE_002,2025-12-02 17:21:33.247858,Headphones,2,1585.82
STORE_002,2025-11-09 17:21:33.247858,Headphones,10,1984.9
STORE_002,2025-10-30 17:21:33.247858,Headphones,8,6931.6
STORE_002,2025-11-17 17:21:33.247858,Power Adapter,7,3913.21
STORE_002,2025-10-19 17:21:33.247858,Power Adapter,8,3550.0
STORE_002,2025-11-21 17:21:33.247858,Power Adapter,4,4080.44
STORE_002,2025-11-06 17:21:33.247858,Headphones,4,5043.32
STORE_002,2025-12-18 17:21:33.247858,Laptop,4,2756.24
STORE_002,2025-10-05 17:21:33.247858,USB Cable,9,12162.33
STORE_002,2025-11-22 17:21:33.247858,HDMI Cable,4,4421.72
STORE_002,2025-11-29 17:21:33.247858,Laptop,5,5558.4
STORE_002,2025-10-30 17:21:33.247858,Laptop,9,3906.9
STORE_002,2025-12-29 17:21:33.247858,Power Adapter,4,5274.92
STORE_002,2025-12-10 17:21:33.247858,Desktop,1,
STORE_002,2025-10-24 17:21:33.247858,Keyboard,2,1685.1
STORE_002,2025-12-21 17:21:33.247858,Laptop,1,144.97
STORE_002,2025-11-20 17:21:33.247858,Keyboard,8,
STORE_002,2025-11-16 17:21:33.247858,USB Cable,10,8316.4
STORE_002,2025-11-27 17:21:33.247858,Power Adapter,1,367.55
STORE_002,2025-10-17 17:21:33.247858,Laptop,8,4168.48
STORE_002,2025-10-28 17:21:33.247858,HDMI Cable,5,7439.4
STORE_002,2025-12-21 17:21:33.247858,Laptop,7,1956.36
STORE_002,2025-12-17 17:21:33.247858,HDMI Cable,4,2450.64
STORE_002,2025-10-06 17:21:33.247858,Mouse,1,1428.04
STORE_002,2025-11-13 17:21:33.247858,Desktop,5,4435.95
STORE_002,2025-11-27 17:21:33.247858,USB Cable,8,1523.44
STORE_002,2025-10-08 17:21:33.247858,USB Cable,5,5247.4
STORE_002,2025-12-10 17:21:33.247858,Monitor,1,746.73
STORE_002,2025-10-16 17:21:33.247858,Desktop,5,7108.3
STORE_002,2025-10-18 17:21:33.247858,Power Adapter,8,5902.4
STORE_002,2025-11-21 17:21:33.247858,Headphones,10,6215.0
STORE_002,2025-11-01 17:21:33.247858,Monitor,5,4852.5
STORE_002,2025-10-16 17:21:33.247858,Power Adapter,1,960.1
STORE_002,2025-12-06 17:21:33.247858,Desktop,8,9020.32
STORE_002,2025-12-16 17:21:33.247858,Keyboard,8,2134.96
STORE_002,2025-10-28 17:21:33.247858,Laptop,9,8251.92
STORE_002,2025-11-06 17:21:33.247858,Webcam,5,4212.7
STORE_002,,Headphones,10,12698.5
STORE_002,2025-10-06 17:21:33.247858,Headphones,4,5438.6
STORE_002,2025-10-17 17:21:33.247858,USB Cable,1,324.1
STORE_002,2025-10-28 17:21:33.247858,Desktop,8,10991.2
STORE_002,2025-12-02 17:21:33.247858,Desktop,7,3587.57
STORE_002,2025-10-07 17:21:33.247858,Power Adapter,1,473.42
STORE_002,2025-10-09 17:21:33.247858,Power Adapter,7,7911.82
STORE_002,2025-12-20 17:21:33.247858,HDMI Cable,4,4371.4
STORE_002,2025-11-13 17:21:33.247858,Webcam,3,2738.07
STORE_002,2025-11-04 17:21:33.247858,USB Cable,5,3963.6
STORE_002,2025-11-08 17:21:33.247858,Mouse,7,
STORE_002,2025-12-01 17:21:33.247858,Headphones,4,3319.24
STORE_002,2025-12-05 17:21:33.247858,Webcam,9,3483.81
STORE_002,2025-11-22 17:21:33.247858,Keyboard,4,4316.96
STORE_002,2025-12-15 17:21:33.247858,Laptop,1,1300.46
STORE_002,2025-11-12 17:21:33.247858,Desktop,8,10418.4
